cost,distance,date
19049,5,16-10-25
19049,47,17-10-25
19049,270,21-10-25
19049,443,3-11-25
19049,674,12-11-25
19049,902,20-11-25
19049,1186,25-11-25
19049,1363,5-12-25
19049,1569,17-12-25
19049,1753,29-12-25
19049,196,10-1-26
19049,2116,26-1-26
19049,2443,05-2-26
19049,2267,02-2-26
19049,2666,11-2-26
19049,2868,18-2-26
19049,3089,5-3-26
19049,3363,15-3-26
19049,3609,23-3-26
19049,3626,25-3-26
19049,3872,2-4-26
19049,0,23-4-26
19049,4540,3-5-26
19049,4707,23-5-26
19049,0,9-6-26
19049,0,23-6-26
19049,5370,17-7-26
19049,5596,18-8-26
