cost,distance,date
0,5,16-10-25
500,47,17-10-25
1300,270,21-10-25
2088,443,3-11-25
2752,674,12-11-25
3424,902,20-11-25
4144,1186,25-11-25
4964,1363,5-12-25
5561,1569,17-12-25
6128,1753,29-12-25
6840,196,10-1-26
7625,2116,26-1-26
8227,2443,05-2-26
8802,2267,02-2-26
9255,2666,11-2-26
9908,2868,18-2-26
10509,3089,5-3-26
11359,3363,15-3-26
12114,3609,23-3-26
12614,3626,25-3-26
12984,3872,2-4-26
13735,4096,23-4-26
14598,4540,3-5-26
15198,4707,23-5-26
15798,4893,9-6-26
16598,5141,23-6-26
17498,5370,17-7-26
18198,5596,18-8-26
